"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789270611216531927","Sat May 11 12:25:31 +0000 2024","0","Ketua MPR RI Bambang Soesatyo menegaskan pelantikan presiden dan wakil presiden terpilih hasil Pemilu 2024 sangat sulit untuk dijegal. #prabowo #gibran #mpr #bamsoet #pdip #pilpres2024 #pelantikan #monitorday https://t.co/lVthBZB1Vi","1789270611216531927","https://pbs.twimg.com/ext_tw_video_thumb/1789270534162980864/pu/img/HC2IQ-L0P988p2SD.jpg","","in","Indonesia","0","0","0","https://twitter.com/monitordaycom/status/1789270611216531927","70600007","monitordaycom"
"1789270130184388769","Sat May 11 12:23:36 +0000 2024","2","Presiden terpilih Prabowo-Gibran Optimis Lanjutkan Pembangunan IKN #PrabowoGibran #eurovisiongr #notcoin #jjk259 #PemiluDamai2024 #Pilpres2024 https://t.co/CeetDouPAR","1789270130184388769","https://pbs.twimg.com/ext_tw_video_thumb/1789270088652361728/pu/img/8K7JrNcGCQVcU_gR.jpg","","in","","0","5","2","https://twitter.com/sulas3lagi/status/1789270130184388769","1685689983125078016","sulas3lagi"
"1789244401236988212","Sat May 11 10:41:22 +0000 2024","0","Menko Airlangga Hartarto buka suara soal kelanjutan program makan siang gratis milik presiden dan wakil presiden terpilih Prabowo Subianto-Gibran Rakabuming. https://t.co/QbRrNbNcCG","1789244401236988212","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/detikfinance/status/1789244401236988212","135795460","detikfinance"
"1789233943734342028","Sat May 11 09:59:49 +0000 2024","12","Pak Prabowo: yg tdk mau diajak kerjasama jgn mengganggu. Pak Prabowo memang bukan Pak Jokowi bahkan Mas Gibran juga bukan Pak Jokowi. Saya sih asik² aja dg mode Presiden &amp; Wapres terpilih ya karena saya juga ga sesabar Pak Jokowi ️ https://t.co/PgxY8pGiks","1789233943734342028","https://pbs.twimg.com/ext_tw_video_thumb/1789232946924376064/pu/img/7YwISQWLoVnO32Bo.jpg","","in","","0","2","4","https://twitter.com/tjitrosoenarjo1/status/1789233943734342028","1589823392022032384","tjitrosoenarjo1"
"1789135474151547115","Sat May 11 06:26:08 +0000 2024","6","@are_inismyname @jokowi @prabowo @gibran_tweet @P4P4B0W0_2024 @bengkeldodo @Ndons_Back @99propaganda @Kimberley_PS08 @IrawanRommi @MIrvanDarwin1 @florieliciouss @Bank_Joee_ @OppungTp kasian presiden terpilih dia mau ngutang lagi di limit brp lagi..? Tp mudah kok stel aja statistik PDB 1000% spy bisa loan 11rb T lagi. Okehh gasss oke gass pasang musikmu guyss ","1789180169749754264","","are_inismyname","in","","0","0","1","https://twitter.com/bramhuge/status/1789180169749754264","1464371134271471618","bramhuge"
"1789173897083928816","Sat May 11 06:01:12 +0000 2024","0","Mantap KPU tetapkan Prabowo Gibran sebagai presiden terpilih https://t.co/YNbcLITgNJ","1789173897083928816","https://pbs.twimg.com/media/GNRsLZIWsAAFUYM.jpg","","in","","0","0","0","https://twitter.com/8flowersv/status/1789173897083928816","1357006841226514434","8flowersv"
"1789121499032629670","Sat May 11 02:33:00 +0000 2024","151","Prabowo Minta Pemerintahannya Tak Diganggu. Eks calon presiden Ganjar meyakini pihak yg berada di luar pemerintahan Prabowo-Gibran kelak justru akan membantu pemerintahan menjadi lebih baik. Hal itu ia sampaikan merespons ucapan presiden terpilih. https://t.co/XKwsASmerU","1789121499032629670","","","in","Bandung, Jawa Barat","3","14","20","https://twitter.com/devy_casanofa/status/1789121499032629670","1576577082909691904","devy_casanofa"
"1789097619580674310","Sat May 11 00:58:06 +0000 2024","0","Gagasan dan Program Kerja Prabowo-Gibran (Presiden dan Wakil Presiden Terpilih) Untuk Kemajuan Indonesia Kedepan https://t.co/nfzZ3afPbq","1789097619580674310","https://pbs.twimg.com/media/GNQmxvEa8AAHI4C.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789097619580674310","550250097","maureenanico"
"1789097569177735607","Sat May 11 00:57:54 +0000 2024","0","Gagasan dan Program Kerja Prabowo-Gibran (Presiden dan Wakil Presiden Terpilih) Untuk Kemajuan Indonesia Kedepan https://t.co/Fqvje8l4Tl","1789097569177735607","https://pbs.twimg.com/media/GNQmv12aAAAOO2t.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789097569177735607","550250097","maureenanico"
"1789097541818278327","Sat May 11 00:57:48 +0000 2024","0","Gagasan dan Program Kerja Prabowo-Gibran (Presiden dan Wakil Presiden Terpilih) Untuk Kemajuan Indonesia Kedepan https://t.co/XbKHRHoBxU","1789097541818278327","https://pbs.twimg.com/media/GNQmuNCbYAAYSM-.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789097541818278327","550250097","maureenanico"
"1789097511980093579","Sat May 11 00:57:41 +0000 2024","0","Gagasan dan Program Kerja Prabowo-Gibran (Presiden dan Wakil Presiden Terpilih) Untuk Kemajuan Indonesia Kedepan https://t.co/wLFKn5mHPE","1789097511980093579","https://pbs.twimg.com/media/GNQmsovaEAEbV4m.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789097511980093579","550250097","maureenanico"
"1789080526839525505","Sat May 11 00:25:30 +0000 2024","3","@Maroef21 @budimandjatmiko @gibran_tweet @prabowo Yes kami pegiat kesejahteraan desa tertinggal yakin mas @budimandjatmiko mampu menahkodai @kemendespdtt MENGHIDUPKAN DESA dari MATINYA JAYALAH DESA2 di seluruh negeri 🇮🇩🇮🇩 Cc Presiden terpilih @prabowo @gibran_tweet","1789089415085899956","","Maroef21","in","","0","0","1","https://twitter.com/BANGSAygSUJUD/status/1789089415085899956","1189039138835554304","BANGSAygSUJUD"
"1789079735550845403","Fri May 10 23:47:03 +0000 2024","0","Semua elemen masyarakat dukung Hasil Pemilu 2024 Prabowo-Gibran Presiden dan Wakil Presiden terpilih #pemilupenuhdamai #PemiluIndonesia https://t.co/eAO4OZSFiK","1789079735550845403","https://pbs.twimg.com/media/GNQWe-oa8AEB0Be.jpg","","in","Donggala, Sulawesi Tengah","0","0","0","https://twitter.com/sonijarot/status/1789079735550845403","1564881543511740416","sonijarot"
